soc_id,EA033,EA066,EA030,EA028,EA039,complexity_score
Ai10,2.0,2.0,6.0,5.0,1.0,0.43699676816377075
Ai11,3.0,4.0,5.0,3.0,1.0,0.7823373320016912
Ai12,1.0,1.0,6.0,3.0,1.0,-0.8982216718989745
Ai13,1.0,1.0,7.0,3.0,1.0,-0.7357044287651349
Ai18,3.0,4.0,7.0,5.0,1.0,1.6810296280396582
Ai20,1.0,1.0,5.0,3.0,1.0,-1.060738915032814
Ai21,4.0,4.0,7.0,3.0,1.0,1.5489774621122376
Ai22,1.0,1.0,5.0,3.0,1.0,-1.060738915032814
Ai23,2.0,1.0,7.0,3.0,1.0,-0.29409878492226754
Ai24,1.0,1.0,5.0,3.0,1.0,-1.060738915032814
Ai26,1.0,1.0,7.0,3.0,1.0,-0.7357044287651349
Ai28,2.0,1.0,7.0,3.0,1.0,-0.29409878492226754
Ai29,2.0,1.0,7.0,3.0,1.0,-0.29409878492226754
Ai3,3.0,4.0,5.0,3.0,1.0,0.7823373320016912
Ai30,2.0,1.0,7.0,3.0,1.0,-0.29409878492226754
Ai31,2.0,4.0,5.0,3.0,1.0,0.3407316881588238
Ai32,2.0,1.0,6.0,3.0,1.0,-0.4566160280561072
Ai33,2.0,1.0,5.0,3.0,1.0,-0.6191332711899468
Ai34,2.0,1.0,5.0,3.0,1.0,-0.6191332711899468
Ai35,2.0,1.0,5.0,3.0,1.0,-0.6191332711899468
Ai36,2.0,1.0,5.0,3.0,1.0,-0.6191332711899468
Ai37,2.0,1.0,6.0,5.0,1.0,0.11704178171418049
Ai38,1.0,2.0,6.0,3.0,1.0,-0.5782666854493843
Ai39,2.0,2.0,6.0,3.0,1.0,-0.13666104160651696
Ai40,1.0,2.0,6.0,5.0,1.0,-0.004608875679096601
Ai41,2.0,1.0,6.0,5.0,1.0,0.11704178171418049
Ai42,2.0,1.0,6.0,3.0,1.0,-0.4566160280561072
Ai43,1.0,1.0,6.0,5.0,1.0,-0.3245638621286868
Ai44,2.0,4.0,7.0,5.0,1.0,1.239423984196791
Ai46,1.0,1.0,7.0,3.0,1.0,-0.7357044287651349
Ai47,2.0,1.0,7.0,3.0,1.0,-0.29409878492226754
Ai5,1.0,1.0,7.0,3.0,1.0,-0.7357044287651349
Ai6,2.0,5.0,6.0,3.0,1.0,0.8232039177422535
Ai7,1.0,1.0,7.0,3.0,1.0,-0.7357044287651349
Ai8,2.0,1.0,6.0,5.0,1.0,0.11704178171418049
Ai9,1.0,1.0,5.0,6.0,1.0,-0.20025220037738242
Aj1,2.0,1.0,5.0,3.0,2.0,0.03852074083396238
Aj10,2.0,1.0,6.0,3.0,1.0,-0.4566160280561072
Aj11,2.0,1.0,2.0,3.0,1.0,-1.1066850005914655
Aj12,2.0,2.0,7.0,3.0,1.0,0.02585620152732262
Aj13,1.0,3.0,7.0,3.0,1.0,-0.09579445586595446
Aj14,2.0,1.0,7.0,3.0,1.0,-0.29409878492226754
Aj15,2.0,3.0,5.0,5.0,1.0,0.5944345114795213
Aj16,1.0,2.0,3.0,3.0,1.0,-1.065818414850903
Aj17,2.0,4.0,6.0,3.0,1.0,0.5032489312926633
Aj19,3.0,1.0,2.0,3.0,1.0,-0.6650793567485981
Aj2,2.0,1.0,1.0,1.0,1.0,-1.8428600534955926
Aj21,2.0,2.0,3.0,3.0,1.0,-0.6242127710080357
Aj23,2.0,1.0,2.0,3.0,1.0,-1.1066850005914655
Aj25,2.0,2.0,6.0,6.0,1.0,0.7238256730489147
Aj26,2.0,1.0,5.0,5.0,1.0,-0.04547546141965905
Aj28,2.0,1.0,2.0,3.0,1.0,-1.1066850005914655
Aj29,3.0,1.0,1.0,1.0,1.0,-1.4012544096527253
Aj3,1.0,1.0,2.0,3.0,1.0,-1.5482906444343327
Aj4,1.0,2.0,7.0,3.0,1.0,-0.41574944231554467
Aj5,1.0,1.0,2.0,3.0,1.0,-1.5482906444343327
Aj6,2.0,2.0,5.0,5.0,1.0,0.2744795250299311
Aj7,2.0,1.0,5.0,5.0,1.0,-0.04547546141965905
Aj8,1.0,2.0,5.0,3.0,1.0,-0.7407839285832238
Aj9,3.0,1.0,5.0,6.0,1.0,0.6829590873083522
Ca1,1.0,2.0,7.0,5.0,2.0,0.8155623794786522
Ca10,4.0,2.0,1.0,2.0,1.0,-0.3528648744751241
Ca11,3.0,1.0,3.0,3.0,3.0,0.8127459104330597
Ca12,4.0,4.0,5.0,5.0,3.0,3.1129088096626645
Ca17,2.0,1.0,5.0,6.0,1.0,0.24135344346548482
Ca19,2.0,1.0,6.0,3.0,1.0,-0.4566160280561072
Ca2,3.0,2.0,1.0,5.0,1.0,0.06601619633744012
Ca21,2.0,1.0,6.0,3.0,1.0,-0.4566160280561072
Ca22,3.0,1.0,5.0,5.0,1.0,0.3961301824232083
Ca27,3.0,3.0,5.0,3.0,1.0,0.462382345552101
Ca28,2.0,4.0,5.0,5.0,1.0,0.9143894979291115
Ca29,4.0,4.0,5.0,5.0,3.0,3.1129088096626645
Ca3,3.0,5.0,7.0,5.0,3.0,3.3162926385370666
Ca30,5.0,4.0,5.0,5.0,3.0,3.554514453505532
Ca32,1.0,1.0,7.0,3.0,3.0,0.5796035952826833
Ca33,1.0,1.0,7.0,3.0,3.0,0.5796035952826833
Ca36,3.0,3.0,1.0,2.0,1.0,-0.47451553186840123
Ca37,2.0,3.0,2.0,2.0,1.0,-0.753603932577429
Ca38,2.0,3.0,2.0,3.0,3.0,0.8485329963555331
Ca39,4.0,5.0,5.0,5.0,3.0,3.432863796112255
Ca4,2.0,2.0,5.0,5.0,1.0,0.2744795250299311
Ca40,3.0,2.0,5.0,5.0,1.0,0.7160851688727985
Ca41,3.0,2.0,5.0,5.0,1.0,0.7160851688727985
Ca42,3.0,4.0,6.0,5.0,1.0,1.5185123849058186
Ca5,2.0,1.0,2.0,6.0,1.0,-0.24619828593603385
Ca6,3.0,2.0,2.0,2.0,1.0,-0.6319532751841518
Ca7,4.0,5.0,6.0,5.0,3.0,3.5953810392460945
Cb10,2.0,1.0,6.0,3.0,1.0,-0.4566160280561072
Cb15,4.0,2.0,1.0,3.0,1.0,-0.06603596958998022
Cb17,4.0,4.0,7.0,5.0,1.0,2.122635271882525
Cb18,2.0,4.0,7.0,5.0,1.0,1.239423984196791
Cb19,4.0,4.0,8.0,5.0,1.0,2.285152515016365
Cb2,3.0,5.0,7.0,3.0,1.0,1.4273268047189607
Cb22,3.0,3.0,7.0,3.0,1.0,0.7874168318197802
Cb23,2.0,4.0,7.0,3.0,1.0,0.665766174426503
Cb24,2.0,1.0,1.0,2.0,1.0,-1.5560311486104488
Cb25,3.0,2.0,7.0,3.0,1.0,0.46746184537019
Cb26,4.0,5.0,7.0,6.0,1.0,2.7294191632172597
Cb3,4.0,5.0,7.0,5.0,1.0,2.4425902583321157
Cb5,2.0,1.0,5.0,3.0,1.0,-0.6191332711899468
Cb6,2.0,4.0,7.0,3.0,1.0,0.665766174426503
Cb7,3.0,4.0,7.0,3.0,1.0,1.1073718182693704
Cb8,1.0,2.0,3.0,3.0,1.0,-1.065818414850903
Cb9,3.0,4.0,7.0,3.0,1.0,1.1073718182693704
Cc1,4.0,5.0,2.0,6.0,3.0,3.23214097159588
Cc10,3.0,3.0,2.0,6.0,1.0,0.8353173308060139
Cc11,3.0,3.0,1.0,6.0,1.0,0.6728000876721741
Cc12,3.0,3.0,1.0,6.0,1.0,0.6728000876721741
Cc13,3.0,3.0,1.0,5.0,1.0,0.38597118278703035
Cc14,1.0,4.0,2.0,6.0,1.0,0.2720610295698694
Cc16,3.0,3.0,2.0,6.0,1.0,0.8353173308060139
