var_id,completeness_pct,id,category,title,definition,type,units,source,changes,notes
EA016,85.36018590240124,EA016,"Marriage, Kinship, Community organization",Organization of clan communities,"Indicates whether or not societies organized as clan-communities (i.e., where communities represent a single, localized, exogamous kin group or clan) are also segmented into clan barrios.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA081,83.81099922540668,EA081,"Community organization, Housing, Ecology",House construction: wall material,Wall material of the prevailing type of dwelling.,Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to distinguish ""missing data"" (0) from ""open walls"" (10) from ""walls indistinguishable from, or merging into roof"" (11)",
EA023,80.71262587141752,EA023,"Marriage, Kinship",Cousin marriages permitted,"The rules or practices governing the marriageability or nonmarriageability of a man's first cousins and, in some cases, second cousins.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA025,80.71262587141752,EA025,"Marriage, Kinship",Cousin marriages preferred,Preferred rather than just permitted marriages to particular first (and/or second) cousins.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA024,80.71262587141752,EA024,"Marriage, Kinship",Cousin marriages permitted: subtypes,Number of types of cousins (first and/or second cousins) a man is permitted to marry.,Categorical,,Murdock (1962-1971); Gray (1999),"Used code that was corrected by Gray after publication of Gray (1999). Specifically, Murdock codes ""C-G"" = Gray code ""3"" and only Murdock codes ""M"" and ""P"" = Gray code ""4""",
EA026,80.71262587141752,EA026,"Marriage, Kinship",Cousin marriages preferred: subtypes,Specific type(s) of cousin preferred as spouses.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA054,75.67776917118513,EA054,"Labour, Gender, Economy",Sex differences: agriculture,Specialization by sex in agriculture.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA065,75.67776917118513,EA065,"Labour, Economy",Age or occupational specialization: agriculture,Age or occupational specialization in agriculture.,Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,
EA055,75.52285050348567,EA055,"Labour, Economy",Age or occupational specialization: metal working,"Age or occupational specialization in such arts as smelting, casting, and forging, i.e., only those which involve the application of fire.",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,
EA044,75.52285050348567,EA044,"Labour, Gender, Economy",Sex differences: metal working,"Specialization by sex in such arts as smelting, casting, and forging, i.e., only those which involve the application of fire.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA051,74.74825716498839,EA051,"Labour, Gender, Economy",Sex differences: hunting,"Specialization by sex in hunting, including trapping and fowling.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA062,74.67079783113866,EA062,"Labour, Economy",Age or occupational specialization: hunting,"Age or occupational specialization in hunting, including trapping and fowling.",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,
EA027,73.97366382649109,EA027,Kinship,Kin terms for cousins,Extent to which names for cousins distinguish cousin subtypes and/or among other groups of kin.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA202,73.81874515879163,EA202,Population,Population size,"Population of ethnic group as a whole, unless otherwise noted in ""Comments"". Note that source differs by society; EA bibliography is source where possible, otherwise Ember (1992).",Continuous,,Murdock (1962-1971); Ember (1992),,
EA073,72.57939581719597,EA073,"Politics, Leadership, Kinship",Political succession: hereditary succession,"Rules of succession applying to the office of local headman (or a close equivalent), without reference to rules of succession prevailing on higher levels of political integration.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA072,72.57939581719597,EA072,"Politics, Leadership",Political succession,"Rules of succession applying to the office of local headman (or a close equivalent), without reference to rules of succession prevailing on higher levels of political integration.",Categorical,,Murdock (1962-1971); Gray (1999),Note: recoded from Murdock and split into two variables by Gray (1999),
EA076,70.41053446940356,EA076,"Property, Wealth Transactions, Economy",Inheritance rule for movable property,"The rule or practice governing the disposition or transmission of a man's movable property (exclusive of any dower right of his widow). [Note that Murdock (1963a) warned that the codes for this variable had ""proved inadequate and in serious need of revision,"" and that the coded data ""should consequently be used only with circumspection""].",Categorical,,Murdock (1962-1971); Gray (1999),,
EA058,67.00232378001549,EA058,"Labour, Economy",Age or occupational specialization: pottery making,Age or occupational specialization in the manufacture of earthenware utensils.,Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,
EA047,67.00232378001549,EA047,"Labour, Gender, Economy",Sex differences: pottery making,Specialization by sex in the manufacture of earthenware utensils.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA074,66.30518977536794,EA074,"Property, Wealth Transactions, Economy",Inheritance rule for real property (land),"The rule or practice governing the disposition or transmission of a man's property in land (exclusive of any dower right of his widow). [Note that Murdock (1963a) warned that the codes for this variable had ""proved inadequate and in serious need of revision,"" and that the coded data ""should consequently be used only with circumspection""].",Categorical,,Murdock (1962-1971); Gray (1999),,
EA077,66.22773044151819,EA077,"Property, Wealth Transactions, Economy",Inheritance distribution for movable property,"Following the inheritance rule for movable property, this variable indicates how movable property is distributed among several individuals of the same category. [Note that Murdock (1963a) warned that the codes for this variable had ""proved inadequate and in serious need of revision,"" and that the coded data ""should consequently be used only with circumspection""].",Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to distinguish cases where no inheritance of movable property (""9"") from cases where no data provided on distribution rules (Missing data).",
EA052,65.53059643687065,EA052,"Labour, Gender, Economy",Sex Differences: fishing,"Specialization by sex in fishing, including shellfishing and the pursuit of large aquatic animals.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA063,65.53059643687065,EA063,"Labour, Economy",Age or occupational specialization: fishing,"Age or occupational specialization in fishing, including shellfishing and the pursuit of large aquatic animals.",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,
EA056,65.45313710302092,EA056,"Labour, Economy",Age or occupational specialization: weaving,"Age or occupational specialization in the manufacture of true cloth on a loom or frame; not including the manufacture of nets, baskets, mats, or nonwoven fabrics like barkcloth or felt.",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,
EA045,65.45313710302092,EA045,"Labour, Gender, Economy",Sex differences: weaving,"Specialization by sex in the manufacture of true cloth on a loom or frame; not including the manufacture of nets, baskets, mats, or nonwoven fabrics like barkcloth or felt.",Categorical,,Murdock (1962-1971); Gray (1999),,
